name,time,Engine,UnAuthorized,lat,lon
demo,1678512856879432315,OFF,1,47.203,-122.4882
demo,1678513469380031569,OFF,1,47.203,-122.4882
demo,1678513727378884998,OFF,1,47.203,-122.4882
demo,1678516366922870375,OFF,1,47.203,-122.4882
demo,1678516543311352243,ON,0,47.203,-122.4882
demo,1678516817681944933,OFF,1,47.203,-122.4882
demo,1678516843691668913,ON,0,47.203,-122.4882
demo,1678516845694189829,ON,0,47.203,-122.4882
demo,1678517109708857465,OFF,1,47.203,-122.4882
demo,1678517317731561621,OFF,1,47.203,-122.4882
demo,1678517447609739389,OFF,1,47.203,-122.4882
demo,1678518644310005337,OFF,1,47.203,-122.4882
demo,1678518948490764815,OFF,1,47.203,-122.4882
demo,1678519510569214699,OFF,1,47.203,-122.4882
demo,1678520867305415008,OFF,1,47.203,-122.4882
demo,1678520877336569272,OFF,1,47.203,-122.4882
demo,1678520903461719715,OFF,1,47.203,-122.4882
demo,1678521552023465957,OFF,1,47.203,-122.4882
demo,1678521738310724674,OFF,1,47.203,-122.4882
demo,1678521832388535134,OFF,1,47.203,-122.4882
demo,1678525908652918620,ON,0,47.203,-122.4882
demo,1678525975317865261,ON,0,47.203,-122.4882
demo,1678526226262470265,ON,0,47.203,-122.4882
demo,1678526324965168117,OFF,1,47.203,-122.4882
demo,1678526497308618827,ON,0,47.203,-122.4882
demo,1678526657299813027,ON,0,47.203,-122.4882
demo,1678527481573942034,OFF,1,47.203,-122.4882
demo,1678527497235180066,OFF,1,47.203,-122.4882
demo,1678527572250093550,ON,0,47.203,-122.4882
demo,1678529068461496559,OFF,1,47.203,-122.4882
demo,1678569266759235214,ON,0,47.203,-122.4882
demo,1678569524233447591,OFF,1,47.203,-122.4882
demo,1678573029730355092,ON,0,47.203,-122.4882
demo,1678573764962537035,ON,0,47.203,-122.4882
demo,1678578409901115546,ON,0,47.203,-122.4882
demo,1678578602425452594,ON,0,47.203,-122.4882
demo,1678579012709942734,ON,0,47.203,-122.4882
demo,1678579286692491410,OFF,1,47.203,-122.4882
demo,1678581581017010880,ON,0,47.203,-122.4882
demo,1678581634797819299,ON,0,47.203,-122.4882
demo,1678581769668505966,ON,0,47.203,-122.4882
demo,1678581785160299752,OFF,,,
demo,1678581799729116827,ON,0,47.203,-122.4882
demo,1678581812925189273,OFF,,,
demo,1678581871588121948,OFF,1,47.203,-122.4882
demo,1678582019845272528,ON,0,47.203,-122.4882
demo,1678582023655286629,OFF,,,
demo,1678582045774899784,ON,0,47.203,-122.4882
demo,1678582053407261692,OFF,,,
demo,1678582065833418218,ON,0,47.203,-122.4882
demo,1678582067248235736,OFF,,,
demo,1678583963269557030,OFF,1,47.203,-122.4882
demo,1678583964820831746,OFF,1,47.203,-122.4882
demo,1678583966796707910,OFF,1,47.203,-122.4882
demo,1678583968686504433,OFF,1,47.203,-122.4882
demo,1678583970590521841,OFF,1,47.203,-122.4882
demo,1678583972650335755,OFF,1,47.203,-122.4882
demo,1678583974742621096,OFF,1,47.203,-122.4882
demo,1678583976624393102,OFF,1,47.203,-122.4882
demo,1678583978555994195,OFF,1,47.203,-122.4882
demo,1678583980622236982,OFF,1,47.203,-122.4882
demo,1678583982723737787,OFF,1,47.203,-122.4882
demo,1678583984734187614,OFF,1,47.203,-122.4882
demo,1678583987998523979,OFF,1,47.203,-122.4882
demo,1678583989435034359,OFF,1,47.203,-122.4882
demo,1678583990453676009,OFF,1,47.203,-122.4882
demo,1678583992572255858,OFF,1,47.203,-122.4882
demo,1678583994571768208,OFF,1,47.203,-122.4882
demo,1678584908805896565,ON,0,47.203,-122.4882
demo,1678584977146740121,OFF,,,
demo,1678585294778369389,OFF,1,47.203,-122.4882
demo,1678586095729675293,ON,0,47.203,-122.4882
demo,1678586160245235892,OFF,,,
demo,1678590096296963844,ON,0,47.203,-122.4882
demo,1678590172974712420,OFF,,,
demo,1678590174311654337,OFF,,,
demo,1678590217943521553,ON,0,47.203,-122.4882
demo,1678590225330340791,OFF,,,
demo,1678590238904895600,OFF,1,47.203,-122.4882
demo,1678590243974874727,OFF,,,
demo,1678590305210163105,OFF,,,
demo,1678590344488279291,OFF,1,47.203,-122.4882
demo,1678590351351171114,OFF,1,47.203,-122.4882
demo,1678590367977945230,ON,0,47.203,-122.4882
demo,1678590374714632224,OFF,,,
demo,1678590801740820819,OFF,1,47.203,-122.4882
demo,1678591320927375076,OFF,1,47.203,-122.4882
demo,1678591337683239159,OFF,1,47.203,-122.4882
demo,1678591338964840071,ON,0,47.203,-122.4882
demo,1678591360192937058,OFF,,,
demo,1678599043018422093,ON,0,47.203,-122.4882
demo,1678599136926892815,OFF,,,
demo,1678599229289994378,ON,0,47.203,-122.4882
demo,1678599241214364099,OFF,,,
demo,1678599321073723350,ON,0,47.203,-122.4882
demo,1678599321710704724,OFF,,,
demo,1678599657930567568,ON,0,47.203,-122.4882
demo,1678599744807121701,OFF,,,
demo,1678599829932218064,OFF,,,
demo,1678600315010459755,ON,0,47.203,-122.4882
demo,1678600317886772627,OFF,,,
demo,1678600429597206101,ON,0,47.203,-122.4882
demo,1678600430976815312,ON,0,47.203,-122.4882
demo,1678600433934165781,OFF,,,
demo,1678600439842030755,OFF,,,
demo,1678600459289764488,ON,0,47.203,-122.4882
demo,1678600466922905564,OFF,,,
demo,1678600594354156611,ON,0,47.203,-122.4882
demo,1678600632383088338,OFF,,,
demo,1678600731964156232,OFF,1,47.203,-122.4882
demo,1678600734642898746,ON,0,47.203,-122.4882
demo,1678600744118215728,OFF,,,
demo,1678600769213853969,ON,0,47.203,-122.4882
demo,1678600812914304577,OFF,,,
demo,1678600820160448243,OFF,,,
demo,1678600883267218007,ON,0,47.203,-122.4882
demo,1678600922527602825,OFF,,,
demo,1678601220970947764,ON,0,47.203,-122.4882
demo,1678601225398049000,OFF,,,
demo,1678601480643698393,ON,0,47.203,-122.4882
demo,1678601596065846873,OFF,,,
demo,1678601626413703365,ON,0,47.203,-122.4882
demo,1678601629335334985,OFF,1,47.203,-122.4882
demo,1678601680656849910,OFF,,,
demo,1678601895476762906,ON,0,47.203,-122.4882
demo,1678602047453159114,OFF,,,
demo,1678602110433600205,ON,0,47.203,-122.4882
